,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,competitors
155,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2020,31-12-20,8,1209021.052,rest of the competitors
156,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2021,31-12-21,9,1234925.948,rest of the competitors
157,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2017,31-12-17,5,1466889.895,rest of the competitors
158,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2018,31-12-18,6,1246850.049,rest of the competitors
159,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2019,31-12-19,7,1309192.531,rest of the competitors
160,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2020,31-12-20,8,1267298.475,rest of the competitors
161,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2021,31-12-21,9,1193795.15,rest of the competitors
162,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2017,31-12-17,5,1114000.003,rest of the competitors
163,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2018,31-12-18,6,1169899.968,rest of the competitors
164,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2019,31-12-19,7,1159800.1,rest of the competitors
165,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2020,31-12-20,8,1162000.001,rest of the competitors
166,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2021,31-12-21,9,1150379.981,rest of the competitors
167,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2017,31-12-17,5,1013664.177,rest of the competitors
168,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2018,31-12-18,6,1043240.71,rest of the competitors
169,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2019,31-12-19,7,1096147.569,rest of the competitors
170,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2020,31-12-20,8,1124932.192,rest of the competitors
171,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2021,31-12-21,9,1146067.453,rest of the competitors
172,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2017,31-12-17,5,1158897.097,rest of the competitors
173,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2018,31-12-18,6,1148548.319,rest of the competitors
174,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2019,31-12-19,7,1061411.451,rest of the competitors
175,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2020,31-12-20,8,1058234.892,rest of the competitors
176,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2021,31-12-21,9,1073574.964,rest of the competitors
177,8,Alcoholic Drinks,13,1,Total Volume,Blue Ribbon Intermediate Holdings LLC,1000 litres,2018,31-12-18,6,1071769.067,rest of the competitors
178,8,Alcoholic Drinks,13,1,Total Volume,Blue Ribbon Intermediate Holdings LLC,1000 litres,2019,31-12-19,7,1067608.989,rest of the competitors
179,8,Alcoholic Drinks,13,1,Total Volume,Blue Ribbon Intermediate Holdings LLC,1000 litres,2020,31-12-20,8,1057514.164,rest of the competitors
180,8,Alcoholic Drinks,13,1,Total Volume,Blue Ribbon Intermediate Holdings LLC,1000 litres,2021,31-12-21,9,1045440.358,rest of the competitors
181,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2017,31-12-17,5,746228.3689,rest of the competitors
182,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2018,31-12-18,6,766853.3686,rest of the competitors
183,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2019,31-12-19,7,696221.9372,rest of the competitors
184,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2020,31-12-20,8,865682.6272,rest of the competitors
185,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2021,31-12-21,9,879949.9271,rest of the competitors
186,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2017,31-12-17,5,826012.4871,rest of the competitors
187,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2018,31-12-18,6,801658.1697,rest of the competitors
188,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2019,31-12-19,7,806688.6868,rest of the competitors
189,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2020,31-12-20,8,810589.7645,rest of the competitors
190,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2021,31-12-21,9,824786.6057,rest of the competitors
